size,Triton,Torch
4096.000000,6.857143,6.857143
8192.000000,13.714286,13.714286
16384.000000,24.000000,27.428571
32768.000000,48.000000,42.666665
65536.000000,85.333330,76.800002
131072.000000,153.600004,139.636363
262144.000000,219.428568,219.428568
524288.000000,279.272725,279.272725
1048576.000000,341.333321,332.108094
2097152.000000,378.092307,366.805965
4194304.000000,399.609739,393.215981
8388608.000000,413.042029,413.042029
16777216.000000,428.339867,427.408686
33554432.000000,433.057275,433.534740
67108864.000000,436.542886,437.149537
134217728.000000,443.810387,439.224794
